ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
98,TM Dilshan,Sri Lanka,76,1830,1552,29.04761905,94.2037302,1,12,13,9,13,24,52,702.0,4.0,35.1,0.0,0.0,2.0,2.0,7.0,1.0,10,270,0,1,2,0,2,33.75,0,0,1128.0,9.0,26.23255814,0.0,0.0,7.0,10.0,6.0,0.0,1.8656410256410300,2.3677882236666700,5.277777777777780,3.460837887136610
272,K Weeraratne,Sri Lanka,4,45,37,45.0,112.2115385,0,0,0,0,3,1,3,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,45,0,0,0,0,3,45.0,0,0,35.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.0,2.8
777,JDF Vandersay,Sri Lanka,4,15,19,15.0,130.7142857,0,0,0,1,3,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,1,0,0,0,3,15.0,0,0,15.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8,2.0,2.8
847,N Pradeep,Sri Lanka,4,10,15,10.0,50.0,0,0,0,2,3,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,2,0,0,0,3,10.0,0,0,10.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.8000000000000000,2.0,2.8000000000000000
44,DPMD Jayawardene,Sri Lanka,52,1458,1141,35.56097561,108.5778692,1,9,9,2,11,17,35,466.0,3.0,33.28571429,0.0,0.0,0.0,6.0,2.0,0.0,10,269,0,1,2,0,2,33.625,0,0,992.0,8.0,36.74074074,0.0,0.0,2.0,3.0,7.0,1.0,1.3972103005386300,2.018798536421370,5.278810408921930,2.546241092046640
324,AD Mathews,Sri Lanka,63,1148,1002,24.95652174,112.4382028,0,9,5,2,17,22,41,292.0,4.0,16.22222222,0.0,0.0,1.0,3.0,0.0,0.0,10,155,1,1,1,0,1,17.22222222,0,0,856.0,13.0,30.57142857,0.0,0.0,1.0,6.0,5.0,0.0,1.194596651328770,2.1745327102324800,5.290322580645160,2.5227200424512200
412,NLTC Perera,Sri Lanka,73,1204,827,25.08333333,129.8099103,0,10,3,8,25,29,44,399.0,10.0,21.0,0.0,0.0,5.0,1.0,2.0,0.0,10,184,1,1,1,0,3,26.28571429,0,0,805.0,15.0,27.75862069,0.0,0.0,3.0,9.0,1.0,0.0,1.613533834586470,1.9639323195677000,5.244565217391300,2.51973283485299
99,KC Sangakkara,Sri Lanka,53,1382,1193,32.13953488,104.8475559,0,12,8,2,10,17,36,489.0,4.0,37.61538462,0.0,0.0,0.0,5.0,2.0,0.0,10,204,1,2,1,0,2,25.5,0,0,893.0,6.0,29.76666667,0.0,0.0,2.0,7.0,6.0,0.0,1.3847097688711700,1.9889361703068300,5.294117647058820,2.473499814795950
380,CU Jayasinghe,Sri Lanka,3,49,49,49.0,126.9047619,0,1,0,0,2,0,3,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3,49,0,1,0,0,2,49.0,0,0,49.0,2.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.191836734693880,1.5918367346938800,2.191836734693880
1520,SMA Priyanjan,Sri Lanka,3,54,63,54.0,85.85365854,0,1,0,0,2,1,2,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,54,0,1,0,0,2,54.0,0,0,14.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037500000000000000,1.4000000000000000,1.5833333333333300,2.183333333333330
555,MDKJ Perera,Sri Lanka,46,1293,988,28.73333333,118.4698104,0,3,12,0,1,23,23,649.0,0.0,28.2173913,0.0,0.0,0.0,1.0,7.0,0.0,10,247,0,1,2,0,0,24.7,0,0,644.0,1.0,29.27272727,0.0,0.0,0.0,2.0,5.0,0.0,1.4973805854083200,1.3746753246071400,5.303643724696360,2.1563908222938900
413,LD Chandimal,Sri Lanka,50,868,845,19.28888889,94.29811197,0,5,5,0,5,17,33,267.0,2.0,17.8,0.0,0.0,0.0,2.0,1.0,0.0,10,175,0,1,1,0,3,25.0,0,0,601.0,3.0,20.03333333,0.0,0.0,0.0,3.0,4.0,0.0,1.1753558052434500,1.6759900165108200,5.257142857142860,2.0738607271313400
101,CK Kapugedera,Sri Lanka,37,685,598,22.09677419,112.3329258,0,9,1,0,6,10,27,229.0,1.0,25.44444444,0.0,0.0,0.0,3.0,1.0,0.0,10,199,0,3,1,0,2,24.875,0,0,456.0,5.0,20.72727273,0.0,0.0,0.0,6.0,0.0,0.0,1.105288694672490,1.3919856460460500,5.376884422110550,1.7267247467459900
43,ST Jayasuriya,Sri Lanka,28,615,495,23.65384615,95.51849995,0,4,4,4,2,4,24,64.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,10,88,1,1,0,0,1,9.777777778,0,0,551.0,2.0,25.04545455,0.0,0.0,4.0,3.0,4.0,0.0,0.79375,1.4823296487114300,5.170454545454550,1.5733583488455300
842,BKG Mendis,Sri Lanka,26,484,382,20.16666667,97.18996786,0,0,5,3,2,12,14,279.0,0.0,23.25,0.0,0.0,1.0,0.0,3.0,0.0,10,151,3,0,1,0,1,16.77777778,0,0,205.0,2.0,17.08333333,0.0,0.0,2.0,0.0,2.0,0.0,1.0870967741935500,1.2264227640682900,5.198675496688740,1.56411845742562
345,I Udana,Sri Lanka,20,230,164,19.16666667,119.2623626,0,1,1,2,8,9,11,67.0,5.0,16.75,0.0,0.0,0.0,0.0,0.0,0.0,10,177,0,1,1,0,3,25.28571429,0,0,163.0,3.0,20.375,0.0,0.0,2.0,1.0,1.0,0.0,1.575,1.266180981595090,5.254237288135590,1.5579710146956500
758,MD Shanaka,Sri Lanka,39,483,462,15.58064516,82.51025955,0,3,1,7,8,13,26,124.0,3.0,12.4,0.0,0.0,4.0,1.0,0.0,0.0,10,130,0,1,0,0,2,16.25,0,0,359.0,5.0,17.0952381,0.0,0.0,3.0,2.0,1.0,0.0,1.0672580645161300,1.3012070568802200,5.115384615384620,1.4862352233291900
1164,PWH de Silva,Sri Lanka,13,154,131,22.0,109.9025811,0,1,0,1,6,4,9,77.0,1.0,25.66666667,0.0,0.0,0.0,1.0,0.0,0.0,10,122,1,1,0,0,4,20.33333333,0,0,77.0,5.0,19.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0112554113766200,1.575,5.1229508196721300,1.4266233766233800
775,MD Gunathilaka,Sri Lanka,26,542,467,20.84615385,108.7098609,0,4,3,0,0,5,21,96.0,0.0,19.2,0.0,0.0,0.0,1.0,0.0,0.0,10,202,0,0,2,0,0,20.2,0,0,446.0,0.0,21.23809524,0.0,0.0,0.0,3.0,3.0,0.0,0.778125,1.3356502242780300,5.297029702970300,1.419557195701110
335,BAW Mendis,Sri Lanka,6,8,18,2.666666667,84.04761905,0,0,0,2,3,3,3,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6,8,2,0,0,0,3,2.666666667,0,0,7.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1000000000000000,1.0500000000000000,3.0,1.400000000175
1342,PADLR Sandakan,Sri Lanka,6,20,28,6.666666667,75.3968254,0,0,0,0,3,2,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20,0,0,0,0,3,6.666666667,0,0,18.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333330,3.0,1.4000000000700000
172,G Wijekoon,Sri Lanka,2,1,6,1.0,50.0,0,0,0,1,1,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,1,1.0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4,1.0,1.4
209,WPUJC Vaas,Sri Lanka,2,33,42,33.0,80.35714286,0,0,0,0,1,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,33,0,0,0,0,1,33.0,0,0,33.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,1.4
757,PVD Chameera,Sri Lanka,10,33,42,6.6,72.07142857,0,0,0,2,5,2,8,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,10,33,2,0,0,0,5,6.6,0,0,30.0,4.0,7.5,0.0,0.0,1.0,0.0,0.0,0.0,1.4000000000000000,1.4,5.0,1.4
798,CAK Rajitha,Sri Lanka,4,8,24,4.0,23.21428571,0,0,0,2,2,1,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,8,2,0,0,0,2,4.0,0,0,8.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0500000000000000,2.0,1.4
1393,CBRLS Kumara,Sri Lanka,2,5,3,5.0,150.0,0,0,0,0,1,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,1,5.0,0,0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000000,1.0,1.4000000000000000
790,N Dickwella,Sri Lanka,24,466,351,20.26086957,116.4808571,0,6,1,2,1,5,19,116.0,1.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,10,196,2,4,0,0,1,21.77777778,0,0,350.0,0.0,18.42105263,0.0,0.0,2.0,4.0,1.0,0.0,1.004310344827590,1.1885714285114300,5.3061224489795900,1.3484605338540800
791,DAS Gunaratne,Sri Lanka,12,225,183,25.0,92.26904822,0,1,2,2,3,2,10,17.0,0.0,8.5,0.0,0.0,1.0,0.0,0.0,0.0,10,211,2,1,2,0,2,26.375,0,0,208.0,3.0,29.71428571,0.0,0.0,1.0,1.0,2.0,0.0,0.7,1.3605769229326900,5.355450236966820,1.3333333333333300
530,SMSM Senanayake,Sri Lanka,11,56,69,9.333333333,73.17614649,0,0,0,2,5,6,5,18.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,10,55,2,0,0,0,5,11.0,0,0,38.0,2.0,12.66666667,0.0,0.0,1.0,0.0,0.0,0.0,1.4000000000000000,1.166666666973680,5.0,1.2833333332875000
463,BMAJ Mendis,Sri Lanka,15,207,186,20.7,102.144239,0,2,0,1,5,14,1,182.0,5.0,20.22222222,0.0,0.0,1.0,2.0,0.0,0.0,10,116,1,1,0,0,2,14.5,0,0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3196581195384600,0.7000000000000000,5.129310344827590,1.267391304347830
171,J Mubarak,Sri Lanka,14,221,175,22.1,113.4855641,0,3,0,2,4,1,13,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10,116,1,1,0,0,2,14.5,0,0,208.0,4.0,23.11111111,0.0,0.0,2.0,3.0,0.0,0.0,0.7000000000000000,1.2923611110625,5.129310344827590,1.2650678733031700
304,KMDN Kulasekara,Sri Lanka,29,196,184,9.333333333,79.85482908,0,1,0,5,8,11,18,68.0,3.0,8.5,0.0,0.0,1.0,0.0,0.0,0.0,10,67,2,0,0,0,3,9.571428571,0,0,128.0,5.0,9.846153846,0.0,0.0,4.0,1.0,0.0,0.0,0.9625000000000000,1.180168269215630,5.0,1.1886054421423500
465,HMRKB Herath,Sri Lanka,5,8,12,2.666666667,78.0,0,0,0,0,2,1,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,2,2.666666667,0,0,7.0,1.0,2.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333332000000,2.5,1.1666666668125000
884,JRMVB Sanjaya,Sri Lanka,5,20,18,6.666666667,131.4285714,0,0,0,0,2,1,4,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20,0,0,0,0,2,6.666666667,0,0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,1.4000000000000000,2.5,1.166666666725
776,RAS Lakmal,Sri Lanka,5,7,11,2.333333333,55.0,0,0,0,2,2,2,3,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,2,0,0,0,2,2.333333333,0,0,1.0,1.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,1.4000000000000000,1.0500000000000000,2.5,1.1666666665
746,DM de Silva,Sri Lanka,15,331,311,23.64285714,99.68272802,0,2,2,0,1,6,9,167.0,0.0,27.83333333,0.0,0.0,0.0,2.0,1.0,0.0,10,185,0,1,1,0,1,20.55555556,0,0,164.0,1.0,20.5,0.0,0.0,0.0,0.0,1.0,0.0,0.9155688621916170,0.9521341463414640,5.243243243243240,1.1578549848036300
747,TAM Siriwardana,Sri Lanka,19,275,217,17.1875,98.59268269,0,3,0,4,3,4,15,73.0,0.0,18.25,0.0,0.0,1.0,1.0,0.0,0.0,10,101,3,1,0,0,1,11.22222222,0,0,202.0,3.0,16.83333333,0.0,0.0,3.0,2.0,0.0,0.0,0.7821917808219180,1.0977722770544600,5.148514851485150,1.1421590909090900
624,S Prasanna,Sri Lanka,20,214,176,15.28571429,116.8465007,0,1,0,0,6,4,16,51.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10,148,0,1,0,0,4,24.66666667,0,0,163.0,5.0,14.81818182,0.0,0.0,0.0,1.0,0.0,0.0,0.9333333333333330,1.1654210821104300,5.101351351351350,1.1401869161682200
528,HDRL Thirimanne,Sri Lanka,20,291,269,17.11764706,98.77008939,0,3,0,1,3,10,10,123.0,1.0,13.66666667,0.0,0.0,0.0,1.0,0.0,0.0,10,166,1,2,0,0,2,20.75,0,0,168.0,2.0,21.0,0.0,0.0,1.0,2.0,0.0,0.0,0.8997289974796750,1.0535714285714300,5.180722891566270,1.1328077623367700
539,EMDY Munaweera,Sri Lanka,13,215,172,17.91666667,108.119824,0,2,1,1,1,7,6,104.0,1.0,17.33333333,0.0,0.0,0.0,0.0,1.0,0.0,10,181,1,2,1,0,0,18.1,0,0,111.0,0.0,18.5,0.0,0.0,1.0,2.0,0.0,0.0,1.018589743432690,0.8621621621621620,5.331491712707180,1.1211240311488400
42,WU Tharanga,Sri Lanka,26,407,348,16.28,100.4247763,0,4,0,3,1,8,18,133.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,10,191,0,2,0,0,1,21.22222222,0,0,274.0,0.0,15.22222222,0.0,0.0,3.0,3.0,0.0,0.0,0.8902255639097740,0.9956204378540150,5.157068062827230,1.1112923832923800
1604,KNA Bandara,Sri Lanka,3,75,62,37.5,132.0373005,0,1,0,0,1,0,3,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3,75,0,1,0,0,1,37.5,0,0,75.0,1.0,37.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.11,1.56,1.11
756,GSNFG Jayasuriya,Sri Lanka,16,241,228,15.0625,88.09887126,0,4,0,1,0,6,10,142.0,0.0,23.66666667,0.0,0.0,1.0,3.0,0.0,0.0,10,118,1,1,0,0,0,11.8,0,0,99.0,0.0,9.9,0.0,0.0,0.0,1.0,0.0,0.0,0.890140845169014,0.8515151515151510,5.127118644067800,1.0983402489626600
103,SL Malinga,Sri Lanka,31,136,164,6.8,69.4861378,0,0,0,9,11,10,21,30.0,3.0,4.285714286,0.0,0.0,4.0,0.0,0.0,0.0,10,58,3,0,0,0,3,8.285714286,0,0,106.0,8.0,8.153846154,0.0,0.0,5.0,0.0,0.0,0.0,1.0000000000666700,1.130769230790570,5.0,1.085
170,HMCM Bandara,Sri Lanka,3,12,15,6.0,75.92592593,0,0,0,0,1,2,1,11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,0,0,0,0,1,6.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,1.5,1.0500000000000000
1165,A Dananjaya,Sri Lanka,12,58,69,7.25,80.7224026,0,0,0,2,4,5,7,8.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,10,46,2,0,0,0,4,7.666666667,0,0,50.0,3.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.225,5.0,1.0500000000000000
1265,PBB Rajapaksa,Sri Lanka,6,140,108,28.0,100.4960317,0,1,1,0,1,0,6,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6,140,0,1,1,0,1,28.0,0,0,140.0,1.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0328571428571400,3.192857142857140,1.0328571428571400
1272,BOP Fernando,Sri Lanka,5,109,91,27.25,102.6286393,0,0,1,0,1,0,5,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5,109,0,0,1,0,1,27.25,0,0,109.0,1.0,27.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0126146788990800,2.637614678899080,1.0126146788990800
169,LPC Silva,Sri Lanka,15,175,184,13.46153846,94.54963165,0,1,0,0,2,1,14,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,99,0,0,0,0,1,11.0,0,0,154.0,1.0,11.84615385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8902097904545460,5.0,0.9362637361714290
1163,WIA Fernando,Sri Lanka,14,195,200,13.92857143,85.00067754,0,2,0,1,0,5,9,69.0,0.0,13.8,0.0,0.0,0.0,1.0,0.0,0.0,10,168,0,2,0,0,0,16.8,0,0,126.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.808695652173913,0.807142857142857,5.178571428571430,0.9153846154564100
670,KDK Vithanage,Sri Lanka,3,40,35,13.33333333,63.58024691,0,1,0,0,0,1,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,40,0,1,0,0,0,13.33333333,0,0,39.0,0.0,19.5,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.7769230769230770,1.6125,0.812499999825
1603,P Nissanka,Sri Lanka,3,81,72,27.0,101.3522589,0,2,0,0,0,0,3,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3,81,0,2,0,0,0,27.0,0,0,81.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.811111111111111,1.611111111111110,0.811111111111111
1271,S Samarawickrama,Sri Lanka,7,97,98,13.85714286,89.96479711,0,1,0,1,0,0,7,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7,97,1,1,0,0,0,13.85714286,0,0,97.0,0.0,13.85714286,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8082474228247420,3.608247422680410,0.8082474228247420
1374,PHKD Mendis,Sri Lanka,4,66,47,16.5,89.52380952,0,1,0,1,0,1,3,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4,66,1,1,0,0,0,16.5,0,0,42.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7000000000000000,0.807142857142857,2.090909090909090,0.7909090909090910
100,RP Arnold,Sri Lanka,1,7,8,7.0,87.5,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,7.0,0,0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.5,0.7000000000000000
102,MF Maharoof,Sri Lanka,4,20,33,5.0,47.76785714,0,0,0,1,0,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,20,1,0,0,0,0,5.0,0,0,20.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7000000000000000,2.0,0.7000000000000000
104,CRD Fernando,Sri Lanka,5,25,28,5.0,46.33333333,0,0,0,2,0,0,5,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5,25,2,0,0,0,0,5.0,0,0,25.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7000000000000000,2.5,0.7000000000000000
168,MS Atapattu,Sri Lanka,1,5,8,5.0,62.5,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,5.0,0,0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.5,0.7000000000000000
302,SHT Kandamby,Sri Lanka,2,12,18,6.0,66.66666667,0,0,0,0,0,1,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12,0,0,0,0,0,6.0,0,0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7000000000000000,1.0,0.7000000000000000
303,T Thushara,Sri Lanka,2,4,8,2.0,50.0,0,0,0,0,0,1,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,2.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.7,1.0,0.7
334,M Muralitharan,Sri Lanka,2,1,5,0.5,12.5,0,0,0,1,0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,1.0,0.7
338,RJMGM Rupasinghe,Sri Lanka,2,33,39,16.5,85.71428571,0,0,0,0,0,2,0,33.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,2,33,0,0,0,0,0,16.5,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.7
421,S Randiv,Sri Lanka,2,8,6,4.0,125.0,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0,0,0,0,0,4.0,0,0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
464,MDK Perera,Sri Lanka,2,1,8,0.5,12.5,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,1,0,0,0,0,0.5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
529,KS Lokuarachchi,Sri Lanka,2,11,13,5.5,55.0,0,0,0,1,0,2,0,11.0,0.0,5.5,0.0,0.0,1.0,0.0,0.0,0.0,2,11,1,0,0,0,0,5.5,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.7
551,RMS Eranga,Sri Lanka,1,6,8,6.0,75.0,0,0,0,0,0,1,0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,6.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.0,0.5,0.7000000000000000
641,AK Perera,Sri Lanka,5,59,68,11.8,91.3030303,0,0,0,0,0,0,5,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5,59,0,0,0,0,0,11.8,0,0,59.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.5,0.7
843,SS Pathirana,Sri Lanka,5,27,26,5.4,87.33333333,0,0,0,0,0,2,3,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5,27,0,0,0,0,0,5.4,0,0,19.0,0.0,6.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6999999999631580,2.5,0.7
845,RLB Rambukwella,Sri Lanka,1,19,16,19.0,118.75,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19,0,0,0,0,0,19.0,0,0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.7
880,ST de Silva,Sri Lanka,2,3,7,1.5,25.0,0,0,0,1,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,0,0,0,0,1.5,0,0,3.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7000000000000000,1.0,0.7000000000000000
1191,LD Madushanka,Sri Lanka,2,21,26,10.5,60.14492754,0,0,0,0,0,1,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21,0,0,0,0,0,10.5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000000,0.7,1.0,0.7
1518,PC de Silva,Sri Lanka,2,22,22,11.0,77.5,0,0,0,0,0,0,2,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2,22,0,0,0,0,0,11.0,0,0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.7
1564,MVT Fernando,Sri Lanka,1,2,2,2.0,100.0,0,0,0,0,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,2.0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.7
271,ML Udawatte,Sri Lanka,7,71,75,10.14285714,70.49339549,0,0,0,2,0,2,5,11.0,0.0,5.5,0.0,0.0,1.0,0.0,0.0,0.0,7,71,2,0,0,0,0,10.14285714,0,0,60.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7000000000000000,3.5000000000000000,0.6999999998028170
422,UWMBCA Welegedara,Sri Lanka,1,2,3,0.0,66.66666667,0,0,0,0,1,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,1,0.0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
748,B Fernando,Sri Lanka,1,8,12,0.0,66.66666667,0,0,0,0,1,1,0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,0,0,0,1,0.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
846,KMC Bandara,Sri Lanka,1,2,4,0.0,50.0,0,0,0,0,1,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,1,0.0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1266,M Bhanuka,Sri Lanka,1,0,1,0.0,0.0,0,0,0,1,0,0,1,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,MA Aponso,Sri Lanka,1,0,2,0.0,0.0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0.0,0,0,36.5,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0